ID,Program Name,Link,Program Type,Project Name,Recipient Region (if applicable),MEA Award,Total Project Cost,Sector,Capacity,Capacity Units,Electricity Reduction (kWh),Technology,CO2 Emissions Reductions (metric tons),Date,Notes,Legislative District,Congressional District,County
BIO20080001,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,16.79,16.79,Residential,559.8,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",5A,,Carroll
BIO20080002,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,20.77,20.77,Residential,692.3,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",9B,,Carroll
BIO20080003,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,18.55,18.55,Residential,618.4,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",13,,Howard
BIO20080004,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,19.54,19.54,Residential,651.3,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",5A,,Carroll
BIO20080005,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,19.08,19.08,Residential,636,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",10,,Baltimore County
BIO20080006,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,21.23,21.23,Residential,707.6,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",9A,,Howard
BIO20080007,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,31.47,31.47,Residential,1049,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",42,,Baltimore County
BIO20080008,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,10.68,10.68,Residential,355.9,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",5A,,Carroll
BIO20080009,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,44.75,44.75,Residential,1491.7,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",4B,,Frederick
BIO20080010,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,11.94,11.94,Residential,398.1,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",42,,Baltimore County
BIO20080011,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,10.28,10.28,Residential,342.7,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",11,,Baltimore County
BIO20080012,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,18.55,18.55,Residential,618.2,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",9A,,Howard
BIO20080013,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,21.05,21.05,Residential,701.7,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",9A,,Howard
BIO20080014,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,11.39,11.39,Residential,379.5,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",3B,,Frederick
BIO20080015,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,18.97,18.97,Residential,632.2,gallons,,Bioheat,,01-01-2008 00:00,"Gallon ""capacity"" indicates fuel consumed",4B,,Frederick
BIO20090001,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,2.88,2.88,Residential,96,gallons,,Bioheat,,01-01-2009 00:00,"Gallon ""capacity"" indicates fuel consumed",11,,Baltimore County
BIO20090002,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,6.83,6.83,Residential,227.8,gallons,,Bioheat,,01-01-2009 00:00,"Gallon ""capacity"" indicates fuel consumed",9B,,Carroll
BIO20090003,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,20.95,20.95,Residential,698.2,gallons,,Bioheat,,01-01-2009 00:00,"Gallon ""capacity"" indicates fuel consumed",9B,,Carroll
BIO20090004,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,11.93,11.93,Residential,397.5,gallons,,Bioheat,,01-01-2009 00:00,"Gallon ""capacity"" indicates fuel consumed",41,,Baltimore City
BIO20090005,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,5.63,5.63,Residential,187.8,gallons,,Bioheat,,01-01-2009 00:00,"Gallon ""capacity"" indicates fuel consumed",12A,,Baltimore County
BIO20090006,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,8.24,8.24,Residential,274.8,gallons,,Bioheat,,01-01-2009 00:00,"Gallon ""capacity"" indicates fuel consumed",11,,Baltimore County
BIO20090007,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,20.63,20.63,Residential,687.8,gallons,,Bioheat,,01-01-2009 00:00,"Gallon ""capacity"" indicates fuel consumed",13,,Howard
BIO20090008,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,17.98,17.98,Residential,599.3,gallons,,Bioheat,,01-01-2009 00:00,"Gallon ""capacity"" indicates fuel consumed",9B,,Carroll
BIO20100001,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,17.11,17.11,Residential,570.4,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",9A,,Howard
BIO20100002,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,21.98,21.98,Residential,732.7,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",5A,,Carroll
BIO20100003,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,23.4,23.4,Residential,780,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",9B,,Carroll
BIO20120014,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,7.13,7.13,Residential,237.6,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20100004,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,13.99,13.99,Residential,466.3,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",11,,Baltimore County
BIO20100005,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,22.38,22.38,Residential,746.1,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",12A,,Baltimore County
BIO20100006,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,23.94,23.94,Residential,797.9,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",5A,,Carroll
BIO20100007,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,5.89,5.89,Residential,196.4,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",10,,Baltimore County
BIO20100008,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,12.62,12.62,Residential,420.6,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",5A,,Carroll
BIO20100009,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,15.34,15.34,Residential,511.4,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",9B,,Carroll
BIO20100010,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,17.11,17.11,Residential,570.3,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",5A,,Carroll
BIO20100011,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,8.46,8.46,Residential,282,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",9A,,Howard
BIO20100012,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,27.43,27.43,Residential,914.3,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",11,,Baltimore County
BIO20100013,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,10.06,10.06,Residential,335.2,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",5A,,Carroll
BIO20100014,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,15.45,15.45,Residential,515,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",11,,Baltimore County
BIO20100015,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,31.4,31.4,Residential,1046.6,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",5A,,Carroll
BIO20100016,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,10.32,10.32,Residential,344.1,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",9B,,Carroll
BIO20100017,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,20.66,20.66,Residential,688.6,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",13,,Howard
BIO20100018,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,5.01,5.01,Residential,167.1,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",5A,,Carroll
BIO20100019,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,56.61,56.61,Residential,1886.9,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",4A,,Frederick
BIO20100020,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,17.45,17.45,Residential,581.6,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",5A,,Carroll
BIO20100021,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,12.95,12.95,Residential,431.7,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",5A,,Carroll
BIO20100022,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,12.69,12.69,Residential,423.1,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",4B,,Frederick
BIO20100023,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,30.68,30.68,Residential,1022.8,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",9B,,Carroll
BIO20100024,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,16.59,16.59,Residential,552.9,gallons,,Bioheat,,01-01-2010 00:00,"Gallon ""capacity"" indicates fuel consumed",42,,Baltimore County
BIO20110001,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,11.89,11.89,Residential,396.2,gallons,,Bioheat,,01-01-2011 00:00,"Gallon ""capacity"" indicates fuel consumed",5A,,Carroll
BIO20110002,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,21.09,21.09,Residential,702.9,gallons,,Bioheat,,01-01-2011 00:00,"Gallon ""capacity"" indicates fuel consumed",9B,,Carroll
BIO20110003,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,16.13,16.13,Residential,537.7,gallons,,Bioheat,,01-01-2011 00:00,"Gallon ""capacity"" indicates fuel consumed",9A,,Howard
BIO20110004,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,17.36,17.36,Residential,578.5,gallons,,Bioheat,,01-01-2011 00:00,"Gallon ""capacity"" indicates fuel consumed",5A,,Carroll
BIO20110005,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,18.84,18.84,Residential,628,gallons,,Bioheat,,01-01-2011 00:00,"Gallon ""capacity"" indicates fuel consumed",12A,,Baltimore County
BIO20110006,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,4.48,4.48,Residential,149.3,gallons,,Bioheat,,01-01-2011 00:00,"Gallon ""capacity"" indicates fuel consumed",10,,Baltimore County
BIO20110007,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,31.87,31.87,Residential,1062.3,gallons,,Bioheat,,01-01-2011 00:00,"Gallon ""capacity"" indicates fuel consumed",9B,,Carroll
BIO20110008,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,26.82,26.82,Residential,894.1,gallons,,Bioheat,,01-01-2011 00:00,"Gallon ""capacity"" indicates fuel consumed",5A,,Carroll
BIO20110009,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,14.51,14.51,Residential,483.7,gallons,,Bioheat,,01-01-2011 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20110010,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,8.84,8.84,Residential,294.8,gallons,,Bioheat,,01-01-2011 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20110011,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,16.88,16.88,Residential,562.7,gallons,,Bioheat,,01-01-2011 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20110012,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,12.92,12.92,Residential,430.5,gallons,,Bioheat,,01-01-2011 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20110013,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,61.07,61.07,Residential,2035.8,gallons,,Bioheat,,01-01-2011 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20110014,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,11.91,11.91,Residential,396.9,gallons,,Bioheat,,01-01-2011 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20110015,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,11.04,11.04,Residential,367.9,gallons,,Bioheat,,01-01-2011 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20110016,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,14.5,14.5,Residential,483.3,gallons,,Bioheat,,01-01-2011 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20110017,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,28.89,28.89,Residential,963,gallons,,Bioheat,,01-01-2011 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20110018,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,9.05,9.05,Residential,301.7,gallons,,Bioheat,,01-01-2011 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20110019,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,6.03,6.03,Residential,201.1,gallons,,Bioheat,,01-01-2011 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20110020,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,13.85,13.85,Residential,461.7,gallons,,Bioheat,,01-01-2011 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120001,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,17,17,Residential,566.7,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120002,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,8.97,8.97,Residential,299.1,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120003,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,11.78,11.78,Residential,392.8,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120004,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,7.65,7.65,Residential,255,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120005,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,8.81,8.81,Residential,293.8,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120006,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,16,16,Residential,533.2,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120007,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,8.24,8.24,Residential,274.5,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120008,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,13.22,13.22,Residential,440.7,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120009,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,3.73,3.73,Residential,124.3,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120010,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,5.82,5.82,Residential,194.1,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120011,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,13.44,13.44,Residential,448,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120012,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,20.64,20.64,Residential,687.9,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120013,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,4.56,4.56,Residential,151.9,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
CCEGP027,Commercial Renewable Grants,http://energy.maryland.gov/Business/cleanenergygrants/,Grant,,,24960,249600,Agriculture,49.92,kW,,Solar PV,29.65248,11-11-2011 00:00,,36,,Agriculture
BIO20120015,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,14.7,14.7,Residential,490.1,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120016,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,15.59,15.59,Residential,519.7,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120017,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,47.75,47.75,Residential,1591.7,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120018,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,20.14,20.14,Residential,671.4,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120019,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,13.54,13.54,Residential,451.4,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120020,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,7.64,7.64,Residential,254.7,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120021,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,16.5,16.5,Residential,550,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120022,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,3.94,3.94,Residential,131.3,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120023,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,4.63,4.63,Residential,154.3,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120024,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,25.3,25.3,Residential,843.3,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120025,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,4.38,4.38,Residential,146,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120026,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,7.91,7.91,Residential,263.7,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120027,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,2.98,2.98,Residential,99.2,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120028,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,17.84,17.84,Residential,594.7,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120029,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,9.93,9.93,Residential,331.1,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120030,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,16.09,16.09,Residential,536.4,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120031,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,38.89,38.89,Residential,1296.4,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20120032,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,15.49,15.49,Residential,516.3,gallons,,Bioheat,,01-01-2012 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20130001,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,32.71,32.71,Residential,1090.2,gallons,,Bioheat,,01-01-2013 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20130002,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,6.62,6.62,Residential,220.8,gallons,,Bioheat,,01-01-2013 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20130003,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,6.46,6.46,Residential,215.2,gallons,,Bioheat,,01-01-2013 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20130004,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,20.35,20.35,Residential,678.2,gallons,,Bioheat,,01-01-2013 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20130005,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,23.24,23.24,Residential,774.8,gallons,,Bioheat,,01-01-2013 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20130006,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,1.88,1.88,Residential,62.5,gallons,,Bioheat,,01-01-2013 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20130007,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,14.08,14.08,Residential,469.2,gallons,,Bioheat,,01-01-2013 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20130008,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,12.66,12.66,Residential,421.9,gallons,,Bioheat,,01-01-2013 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
BIO20130009,Bioheating Oil Tax Credit Program,http://energy.maryland.gov/Residential/bioheatGrant.html,Tax Credit,,,9.17,9.17,Residential,305.7,gallons,,Bioheat,,01-01-2013 00:00,"Gallon ""capacity"" indicates fuel consumed",,,
CCEGP089,Commercial Renewable Grants,http://energy.maryland.gov/Business/cleanenergygrants/,Grant,,,50000,451000,Agriculture,155.52,kW,,Solar PV,92.37888,09/17/2012 12:00:00 AM,,38B,,Agriculture
