ID,Program Name,Link,Program Type,Project Name,Recipient Region (if applicable),MEA Award,Total Project Cost,Sector,Capacity,Capacity Units,Electricity Reduction (kWh),Technology,CO2 Emissions Reductions (metric tons),Date,Notes,Legislative District,Congressional District,County
RCEGP004589,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,3800,28900,Residential,3.4,kW,,Solar PV,2.0196,09-08-2009 00:00,,,,
RCEGP004590,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,48240,Residential,12.5,kW,,Solar PV,7.425,08/13/2013 12:00:00 AM,,,,
RCEGP004591,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,700,4073,Residential,55000,BTUs/hr,,Wood Burning Stove,,03-06-2014 00:00,,,,
RCEGP004592,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,9200,49650,Residential,8.4,kW,,Solar PV,4.9896,01/19/2010 12:00:00 AM,,,,
RCEGP004593,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,4230,46420,Residential,8.46,kW,,Solar PV,5.02524,05-04-2011 00:00,,,,
RCEGP004594,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,3000,34700,Residential,6,ton,,Geothermal,2.81259,02-02-2010 00:00,,,,
RCEGP004595,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,19875,Residential,3.995,kW,,Solar PV,2.37303,07/18/2012 12:00:00 AM,,,,
RCEGP004596,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1500,29030,Residential,3,ton,,Geothermal,1.406295,11/30/2010 12:00:00 AM,,,,
RCEGP004597,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,700,5091.51,Residential,52000,BTUs/hr,,Wood Burning Stove,,03/13/2014 12:00:00 AM,,,,
RCEGP004598,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,33737,Residential,6.213,kW,,Solar PV,3.690522,12-04-2013 00:00,,,,
RCEGP004599,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1295,14590,Residential,2.59,kW,,Solar PV,1.53846,06/16/2011 12:00:00 AM,,,,
RCEGP004600,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,2000,23840,Residential,4,ton,,Geothermal,1.87506,01/17/2012 12:00:00 AM,,,,
RCEGP004601,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,13400,Residential,4,kW,,Solar PV,2.376,12-12-2013 00:00,,,,
RCEGP004602,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,2350,32900,Residential,4.7,kW,,Solar PV,2.7918,04/25/2011 12:00:00 AM,,,,
RCEGP004603,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,3000,12907,Residential,3,ton,,Geothermal,1.406295,05/13/2014 12:00:00 AM,,,,
RCEGP004604,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,3000,33550,Residential,3,ton,,Geothermal,1.406295,08/14/2014 12:00:00 AM,,,,
RCEGP004605,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,3000,41186,Residential,6,ton,,Geothermal,2.81259,09-07-2010 00:00,,,,
